Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
24,23,12/6/2021,33-267,GSW,,ORL,W (+31),1,30:58:00,8,16,0.5,7,13,0.538,8,8,1,0,3,3,8,2,0,3,2,31,27.7,9
25,24,12/8/2021,33-269,GSW,,POR,W (+10),1,33:21:00,8,19,0.421,6,17,0.353,0,0,,2,0,2,2,1,0,4,3,22,10.5,16
26,25,12/11/2021,33-272,GSW,@,PHI,L (-9),1,36:14:00,6,20,0.3,3,14,0.214,3,4,0.75,2,7,9,5,0,0,3,1,18,9.6,-9
27,26,12/13/2021,33-274,GSW,@,IND,W (+2),1,35:21:00,8,20,0.4,5,15,0.333,5,5,1,1,5,6,6,1,1,7,1,26,15.9,17
28,27,12/14/2021,33-275,GSW,@,NYK,W (+9),1,34:43:00,8,19,0.421,5,14,0.357,1,2,0.5,0,3,3,3,1,1,4,4,22,10.6,13
29,28,12/17/2021,33-278,GSW,@,BOS,W (+4),1,35:15:00,8,21,0.381,5,14,0.357,9,9,1,1,4,5,4,1,0,6,6,30,15.8,-10
30,,12/18/2021,33-279,GSW,@,TOR,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
31,29,12/20/2021,33-281,GSW,,SAC,W (+15),1,36:14:00,13,27,0.481,4,12,0.333,0,1,0,0,3,3,4,0,2,4,1,30,16.6,16
32,30,12/23/2021,33-284,GSW,,MEM,W (+9),1,37:19:00,13,22,0.591,8,14,0.571,12,12,1,0,4,4,4,2,0,3,1,46,38.4,15
33,31,12/25/2021,33-286,GSW,@,PHO,W (+9),1,37:12:00,10,27,0.37,5,16,0.313,8,9,0.889,0,4,4,6,3,1,1,3,33,24.6,24
34,32,12/28/2021,33-289,GSW,,DEN,L (-3),1,39:05:00,6,16,0.375,5,14,0.357,6,7,0.857,0,4,4,4,0,0,6,3,23,10.6,5
35,33,1/1/2022,33-293,GSW,@,UTA,W (+7),1,35:31:00,8,18,0.444,6,12,0.5,6,7,0.857,0,6,6,9,0,1,3,3,28,22.8,4
36,34,1/3/2022,33-295,GSW,,MIA,W (+7),1,32:01:00,3,17,0.176,1,10,0.1,2,2,1,0,3,3,10,0,1,2,3,9,3.7,0
37,35,1/5/2022,33-297,GSW,@,DAL,L (-17),1,36:04:00,5,24,0.208,1,9,0.111,3,4,0.75,0,9,9,5,0,1,5,2,14,-0.1,0
38,,1/6/2022,33-298,GSW,@,NOP,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
39,36,1/9/2022,33-301,GSW,,CLE,W (+14),1,36:31:00,10,21,0.476,4,11,0.364,4,4,1,3,2,5,5,1,0,5,3,28,18.3,23
40,37,1/11/2022,33-303,GSW,@,MEM,L (-8),1,38:41:00,8,21,0.381,2,9,0.222,9,10,0.9,1,9,10,10,2,0,3,3,27,23.3,-1
41,38,1/13/2022,33-305,GSW,@,MIL,L (-19),1,29:15:00,4,11,0.364,2,6,0.333,2,2,1,0,8,8,4,2,0,4,0,12,9.1,-25
42,39,1/14/2022,33-306,GSW,@,CHI,W (+42),1,27:37:00,7,15,0.467,4,10,0.4,1,2,0.5,0,2,2,2,1,0,1,0,19,12.9,24
43,,1/16/2022,33-308,GSW,@,MIN,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
44,40,1/18/2022,33-310,GSW,,DET,W (+16),1,28:33:00,6,11,0.545,4,8,0.5,2,2,1,0,3,3,8,3,0,1,1,18,20.8,21
45,41,1/20/2022,33-312,GSW,,IND,L (-4),1,43:57:00,12,27,0.444,6,16,0.375,9,9,1,0,5,5,8,1,0,2,3,39,29.8,-4
46,42,1/21/2022,33-313,GSW,,HOU,W (+2),1,38:56:00,6,21,0.286,4,13,0.308,6,8,0.75,0,4,4,12,1,1,2,3,22,17,2
47,43,1/23/2022,33-315,GSW,,UTA,W (+2),1,35:02:00,5,20,0.25,1,13,0.077,2,2,1,2,2,4,6,0,0,1,0,13,6.2,-5
48,44,1/25/2022,33-317,GSW,,DAL,W (+38),1,28:58:00,7,16,0.438,2,10,0.2,2,3,0.667,2,7,9,7,1,0,4,3,18,13.4,23
49,45,1/27/2022,33-319,GSW,,MIN,W (+9),1,38:21:00,10,20,0.5,6,10,0.6,3,3,1,0,8,8,6,3,0,4,1,29,24.2,13
50,46,1/29/2022,33-321,GSW,,BRK,W (+4),1,35:31:00,5,18,0.278,3,10,0.3,6,6,1,2,5,7,8,3,0,5,5,19,12.9,-3
51,47,1/31/2022,33-323,GSW,@,HOU,W (+14),1,37:57:00,13,23,0.565,7,14,0.5,7,8,0.875,0,5,5,9,1,1,1,0,40,37.2,18
52,,2/1/2022,33-324,GSW,@,SAS,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
53,48,2/3/2022,33-326,GSW,,SAC,W (+12),1,31:40:00,7,11,0.636,4,7,0.571,2,2,1,0,1,1,7,2,0,4,4,20,16.7,21
54,49,2/7/2022,33-330,GSW,@,OKC,W (+12),1,36:34:00,6,12,0.5,4,10,0.4,2,2,1,0,9,9,10,1,0,4,2,18,17.9,4
55,50,2/9/2022,33-332,GSW,@,UTA,L (-26),1,29:39:00,5,13,0.385,3,8,0.375,3,4,0.75,1,6,7,2,0,0,4,2,16,7.6,-14
56,51,2/10/2022,33-333,GSW,,NYK,L (-2),1,39:08:00,11,25,0.44,5,16,0.313,8,8,1,0,2,2,10,1,0,3,5,35,25.5,9
57,52,2/12/2022,33-335,GSW,,LAL,W (+2),1,36:36:00,7,17,0.412,1,8,0.125,9,9,1,0,5,5,8,1,0,2,3,24,19.8,8
58,53,2/14/2022,33-337,GSW,@,LAC,L (-15),1,33:49:00,11,18,0.611,8,13,0.615,3,3,1,0,2,2,2,0,0,4,2,33,22,-19
59,54,2/16/2022,33-339,GSW,,DEN,L (-1),1,39:06:00,10,19,0.526,1,7,0.143,4,4,1,0,3,3,6,0,0,2,2,25,18,-2
60,55,2/24/2022,33-347,GSW,@,POR,W (+37),1,27:27:00,5,11,0.455,2,7,0.286,6,6,1,0,5,5,14,1,1,3,3,18,21.1,19
61,56,2/27/2022,33-350,GSW,,DAL,L (-6),1,38:04:00,11,25,0.44,3,10,0.3,2,4,0.5,1,3,4,10,2,0,1,0,27,22.7,-4
62,57,3/1/2022,33-352,GSW,@,MIN,L (-15),1,33:13:00,10,24,0.417,5,16,0.313,9,9,1,1,4,5,4,0,0,4,1,34,21.5,-10
63,58,3/3/2022,33-354,GSW,@,DAL,L (-9),1,40:26:00,8,15,0.533,4,5,0.8,1,1,1,0,5,5,9,1,0,3,3,21,18.3,-8
64,59,3/5/2022,33-356,GSW,@,LAL,L (-8),1,35:41:00,13,22,0.591,4,9,0.444,0,0,,0,4,4,1,0,0,4,0,30,17.7,-12
65,,3/7/2022,33-358,GSW,@,DEN,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
66,60,3/8/2022,33-359,GSW,,LAC,W (+15),1,35:03:00,5,12,0.417,1,6,0.167,4,4,1,0,5,5,5,3,0,4,4,15,11,6
67,61,3/10/2022,33-361,GSW,@,DEN,W (+11),1,37:58:00,11,21,0.524,5,12,0.417,7,7,1,0,9,9,3,2,0,2,1,34,28.1,18
68,62,3/12/2022,33-363,GSW,,MIL,W (+13),1,33:09:00,3,7,0.429,2,4,0.5,0,0,,1,4,5,8,1,1,4,1,8,9.1,14
69,63,3/14/2022,34-000,GSW,,WAS,W (+14),1,35:26:00,16,25,0.64,7,14,0.5,8,8,1,0,6,6,6,1,0,2,1,47,40.5,17
70,64,3/16/2022,34-002,GSW,,BOS,L (-22),1,13:40,1,4,0.25,1,4,0.25,0,0,,0,1,1,2,0,0,4,2,3,-2.5,-5
71,,3/20/2022,34-006,GSW,,SAS,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
72,,3/22/2022,34-008,GSW,@,ORL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
73,,3/23/2022,34-009,GSW,@,MIA,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
74,,3/25/2022,34-011,GSW,@,ATL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
75,,3/27/2022,34-013,GSW,@,WAS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
76,,3/28/2022,34-014,GSW,@,MEM,L (-28),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,3/30/2022,34-016,GSW,,PHO,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
78,,4/2/2022,34-019,GSW,,UTA,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
79,,4/3/2022,34-020,GSW,@,SAC,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,4/7/2022,34-024,GSW,,LAL,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
81,,4/9/2022,34-026,GSW,@,SAS,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
82,,4/10/2022,34-027,GSW,@,NOP,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
