Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/2021,33-219,GSW,@,LAL,W (+7),1,36:11:00,5,21,0.238,2,8,0.25,9,9,1,1,9,10,10,3,0,4,1,21,17.3,4
2,2,10/21/2021,33-221,GSW,,LAC,W (+2),1,37:33:00,16,25,0.64,8,13,0.615,5,5,1,0,10,10,1,1,1,6,2,45,32.5,-2
3,3,10/24/2021,33-224,GSW,@,SAC,W (+12),1,35:16:00,9,23,0.391,4,15,0.267,5,6,0.833,1,6,7,10,3,0,3,1,27,23.2,14
4,4,10/26/2021,33-226,GSW,@,OKC,W (+8),1,32:18:00,6,14,0.429,4,9,0.444,7,7,1,1,5,6,4,0,1,4,1,23,16.9,15
5,5,10/28/2021,33-228,GSW,,MEM,L (-3),1,40:40:00,11,29,0.379,7,20,0.35,7,7,1,1,6,7,8,1,0,5,2,36,23.4,12
6,6,10/30/2021,33-230,GSW,,OKC,W (+21),1,27:11:00,7,16,0.438,6,15,0.4,0,0,,0,5,5,6,1,1,2,1,20,16.6,17
7,7,11/3/2021,33-234,GSW,,CHO,W (+22),1,35:25:00,6,15,0.4,3,11,0.273,0,0,,1,7,8,9,1,1,4,3,15,12.5,-1
8,8,11/5/2021,33-236,GSW,,NOP,W (+41),1,29:45:00,5,16,0.313,5,13,0.385,4,4,1,0,3,3,6,0,2,1,1,19,14.9,17
9,9,11/7/2021,33-238,GSW,,HOU,W (+13),1,26:49:00,8,16,0.5,4,11,0.364,0,0,,2,1,3,2,3,0,0,3,20,16.9,16
10,10,11/8/2021,33-239,GSW,,ATL,W (+14),1,35:02:00,14,28,0.5,9,19,0.474,13,13,1,2,5,7,10,4,1,2,0,50,48.6,31
11,11,11/10/2021,33-241,GSW,,MIN,W (+13),1,34:06:00,8,16,0.5,3,9,0.333,6,8,0.75,0,5,5,6,1,0,3,2,25,19.1,11
12,12,11/12/2021,33-243,GSW,,CHI,W (+26),1,34:13:00,15,24,0.625,9,17,0.529,1,1,1,0,4,4,5,1,1,6,1,40,29.2,31
13,13,11/14/2021,33-245,GSW,@,CHO,L (-4),1,35:42:00,7,22,0.318,3,13,0.231,7,7,1,1,5,6,10,3,1,3,2,24,20.5,14
14,14,11/16/2021,33-247,GSW,@,BRK,W (+18),1,29:15:00,12,19,0.632,9,14,0.643,4,4,1,0,7,7,5,2,1,2,4,37,33.2,16
15,15,11/18/2021,33-249,GSW,@,CLE,W (+15),1,35:23:00,15,27,0.556,9,16,0.563,1,1,1,0,4,4,6,2,0,3,4,40,29.9,8
16,,11/19/2021,33-250,GSW,@,DET,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
17,16,11/21/2021,33-252,GSW,,TOR,W (+15),1,37:04:00,2,10,0.2,1,6,0.167,7,7,1,0,2,2,8,1,0,4,1,12,8.6,19
18,17,11/24/2021,33-255,GSW,,PHI,W (+20),1,34:55:00,9,16,0.563,6,11,0.545,1,2,0.5,0,4,4,10,1,0,4,1,25,21.8,29
19,18,11/26/2021,33-257,GSW,,POR,W (+15),1,38:04:00,12,25,0.48,6,15,0.4,2,3,0.667,0,7,7,8,1,0,3,2,32,23.8,18
20,19,11/28/2021,33-259,GSW,@,LAC,W (+15),1,34:47:00,12,22,0.545,7,13,0.538,2,2,1,0,5,5,6,6,0,3,4,33,29.5,14
21,20,11/30/2021,33-261,GSW,@,PHO,L (-8),1,35:58:00,4,21,0.19,3,14,0.214,1,1,1,1,2,3,2,1,1,2,0,12,1.3,-17
22,21,12/3/2021,33-264,GSW,,PHO,W (+22),1,33:24:00,8,20,0.4,6,11,0.545,1,2,0.5,2,3,5,5,0,0,3,2,23,13.8,10
23,22,12/4/2021,33-265,GSW,,SAS,L (-5),1,36:52:00,7,28,0.25,5,17,0.294,8,9,0.889,1,7,8,5,3,0,1,1,27,17.7,3
